time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-12-25T22:45:52.356Z,18.5039,146.6174,56.474,4.8,mb,66,81,5.168,1.05,us,us6000jbp9,2022-12-25T23:17:32.040Z,"Pagan region, Northern Mariana Islands",earthquake,9.9,7.189,0.069,65,reviewed,us,us
2022-12-25T19:53:19.733Z,-26.4829,-115.4617,10,5.1,mb,33,115,39.587,0.77,us,us6000jbnq,2022-12-25T21:21:03.040Z,"southern East Pacific Rise",earthquake,17.48,1.863,0.078,53,reviewed,us,us
2022-12-25T19:45:58.034Z,-26.4784,-115.4967,10,5.4,mb,26,235,39.618,0.51,us,us6000jbn5,2022-12-25T21:48:30.239Z,"southern East Pacific Rise",earthquake,10.4,2,0.042,195,reviewed,us,us
2022-12-25T18:39:23.059Z,-16.4016,-173.2885,10,4.9,mb,39,77,2.336,1.5,us,us6000jbmn,2022-12-25T19:52:44.394Z,"73 km SE of Hihifo, Tonga",earthquake,8.02,1.863,0.062,82,reviewed,us,us
2022-12-25T12:17:19.960Z,-18.6405,-175.4749,210.848,4.6,mb,37,83,1.398,0.64,us,us6000jblh,2022-12-25T12:39:25.040Z,"157 km W of Neiafu, Tonga",earthquake,8.72,6.465,0.065,72,reviewed,us,us
2022-12-25T11:26:48.166Z,47.235,153.6506,35,5.1,mb,84,75,6.428,0.56,us,us6000jblb,2022-12-25T11:45:41.040Z,"Kuril Islands",earthquake,4.43,1.89,0.033,302,reviewed,us,us
2022-12-25T11:21:04.734Z,-58.6849,-25.1709,35,4.9,mb,45,82,7.658,0.45,us,us6000jbla,2022-12-25T11:52:21.040Z,"",earthquake,10.72,1.922,0.081,47,reviewed,us,us
2022-12-25T10:56:10.058Z,-59.3573,149.4905,10,5.2,mww,30,118,7.1,0.28,us,us6000jbl5,2022-12-25T11:15:46.040Z,"west of Macquarie Island",earthquake,9.97,1.838,0.098,10,reviewed,us,us
2022-12-25T09:06:58.413Z,37.1366,-32.5855,10,4.8,mb,67,89,5.653,0.33,us,us6000jbkw,2022-12-25T09:40:08.040Z,"",earthquake,6.83,1.919,0.074,56,reviewed,us,us
2022-12-25T07:57:14.500Z,52.8558,172.0483,39.376,4.8,mb,85,99,1.252,0.68,us,us6000jbkl,2022-12-25T23:33:49.862Z,"76 km W of Attu Station, Alaska",earthquake,6.15,7.658,0.032,304,reviewed,us,us
2022-12-25T05:43:44.904Z,18.6137,145.4534,238.742,5,mww,103,36,5.027,0.89,us,us6000jbjm,2022-12-26T05:53:59.653Z,"Pagan region, Northern Mariana Islands",earthquake,6.56,6.867,0.098,10,reviewed,us,us
