time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-01-02T10:39:59.892Z,5.4736,97.1091,10,5.1,mb,29,59,0.292,0.69,us,us7000j1l9,2023-01-02T12:06:38.524Z,"32 km N of Lhokseumawe, Indonesia",earthquake,5.64,1.903,0.134,18,reviewed,us,us
2023-01-02T08:59:42.014Z,-6.6864,144.5568,45.287,4.9,mb,46,50,7.968,0.87,us,us7000j1kp,2023-01-02T09:19:28.040Z,"",earthquake,9.87,8.338,0.096,34,reviewed,us,us
2023-01-02T07:20:27.161Z,40.4585,-29.3556,10,5.3,mww,106,67,4.015,0.6,us,us7000j1jv,2023-01-02T07:52:37.040Z,"187 km NE of Santa Cruz das Flores, Portugal",earthquake,6.48,1.709,0.06,27,reviewed,us,us
2023-01-02T07:10:12.879Z,40.5898,-29.3734,10,4.7,mb,66,62,4.112,0.86,us,us7000j1jp,2023-01-02T07:28:41.040Z,"195 km NE of Santa Cruz das Flores, Portugal",earthquake,10.39,1.862,0.057,93,reviewed,us,us
2023-01-02T06:45:13.157Z,-24.0926,-66.9163,193.623,4.5,mb,65,67,1.622,1.02,us,us7000j1jc,2023-01-02T07:40:36.040Z,"62 km WNW of San Antonio de los Cobres, Argentina",earthquake,8.1,3.587,0.047,133,reviewed,us,us
2023-01-02T05:48:21.202Z,-59.74,-25.8967,10,4.7,mb,26,178,7.952,0.29,us,us7000j1iv,2023-01-02T06:31:40.040Z,"South Sandwich Islands region",earthquake,8.66,1.972,0.108,26,reviewed,us,us
2023-01-02T05:28:08.194Z,36.4337,21.8037,40.846,4.6,mb,87,115,0.75,0.71,us,us7000j1in,2023-01-02T06:13:19.040Z,"42 km SSW of Koróni, Greece",earthquake,7.22,7.048,0.065,70,reviewed,us,us
2023-01-01T21:32:44.561Z,-21.2653,-67.2692,206.81,4.5,mb,41,54,1.879,0.72,us,us7000j1h7,2023-01-01T22:11:21.040Z,"100 km SSW of Uyuni, Bolivia",earthquake,7.77,9.527,0.139,15,reviewed,us,us
2023-01-01T19:37:16.418Z,15.7602,-92.0877,205.494,4.6,mb,83,128,0.521,0.67,us,us7000j1gs,2023-01-01T21:37:25.040Z,"6 km NNW of Verapaz, Mexico",earthquake,6.3,7.969,0.039,196,reviewed,us,us
2023-01-01T19:35:38.114Z,-3.4569,131.02,10,4.5,mb,30,67,1.338,0.61,us,us7000j1gt,2023-01-01T21:11:56.040Z,"233 km E of Amahai, Indonesia",earthquake,6.89,1.89,0.115,22,reviewed,us,us
2023-01-01T18:55:10.025Z,40.6222,-29.1743,10,4.7,mb,70,45,4.023,0.92,us,us7000j1gq,2023-01-01T20:05:40.040Z,"197 km NNW of Santa Cruz da Graciosa, Portugal",earthquake,11.07,1.861,0.072,59,reviewed,us,us
2023-01-01T18:35:04.510Z,40.409,-123.971,30.63,5.35,mw,37,44,0.1146,0.13,nc,nc73827571,2023-01-02T12:04:58.750Z,"15km SE of Rio Dell, CA",earthquake,0.25,0.62,,5,reviewed,nc,nc
2023-01-01T18:24:34.020Z,-2.5692,140.8021,44.062,5.4,mww,76,45,8.551,0.71,us,us7000j1g5,2023-01-01T23:34:44.696Z,"10 km ESE of Jayapura, Indonesia",earthquake,9.37,4.914,0.093,11,reviewed,us,us
2023-01-01T16:24:26.828Z,-25.1974,178.5519,595.75,5.3,mb,32,96,7.005,0.92,us,us7000j1fq,2023-01-01T16:37:52.040Z,"south of the Fiji Islands",earthquake,12.68,11.414,0.074,61,reviewed,us,us
2023-01-01T12:18:58.248Z,-23.0803,-68.9089,113.381,4.9,mb,48,79,0.685,0.9,us,us7000j1ew,2023-01-01T12:47:44.102Z,"",earthquake,5.41,5.217,0.096,34,reviewed,us,us
2023-01-01T07:03:01.555Z,-58.8341,-25.5621,38.411,5.2,mb,49,77,7.562,0.57,us,us7000j1d2,2023-01-01T07:22:43.040Z,"South Sandwich Islands region",earthquake,8.27,7.144,0.075,59,reviewed,us,us
2023-01-01T06:39:45.239Z,36.5351,70.8869,181.449,4.7,mb,79,57,2.494,0.86,us,us7000j1cr,2023-01-01T06:53:04.040Z,"36 km S of Jurm, Afghanistan",earthquake,6.47,6.876,0.047,139,reviewed,us,us
2023-01-01T05:27:09.968Z,17.4604,93.4441,39.767,4.7,mb,44,55,3.441,0.65,us,us7000j1cd,2023-01-01T05:56:36.040Z,"Bay of Bengal",earthquake,5.31,7.314,0.075,58,reviewed,us,us
2023-01-01T03:16:16.153Z,-6.6469,155.1723,48.569,5.4,mww,122,59,5.482,0.73,us,us7000j1bs,2023-01-02T03:19:40.888Z,"Bougainville region, Papua New Guinea",earthquake,8.57,5.436,0.098,10,reviewed,us,us
2022-12-31T23:04:12.784Z,-16.5378,-69.68,196.743,4.9,mww,86,114,1.063,0.92,us,us7000j1b1,2023-01-02T01:18:07.040Z,"22 km N of Mazo Cruz, Peru",earthquake,5.56,5.374,0.093,11,reviewed,us,us
2022-12-31T18:28:42.175Z,-10.3474,66.5607,10,4.6,mb,61,50,6.511,0.79,us,us7000j1ad,2022-12-31T19:30:11.040Z,"Mid-Indian Ridge",earthquake,9.91,1.856,0.085,45,reviewed,us,us
2022-12-31T15:38:55.856Z,15.2819,-93.2399,97.789,4.7,mb,44,134,2.479,0.81,us,us7000j19l,2022-12-31T15:55:15.040Z,"20 km SSW of La Esperanza (El Zapotal), Mexico",earthquake,6.88,6.806,0.034,265,reviewed,us,us
2022-12-31T15:10:35.127Z,-16.4956,-173.1833,10,4.9,mb,19,165,3.492,0.68,us,us7000j19e,2022-12-31T15:32:52.040Z,"88 km SE of Hihifo, Tonga",earthquake,7.39,1.96,0.145,18,reviewed,us,us
2022-12-31T13:06:14.539Z,-18.6293,168.2234,71.172,4.6,mb,19,120,4.03,0.84,us,us7000j18y,2022-12-31T17:40:47.040Z,"99 km S of Port-Vila, Vanuatu",earthquake,9.84,9.673,0.141,15,reviewed,us,us
2022-12-31T12:50:12.368Z,-58.0365,-25.6677,62.275,4.7,mb,30,82,7.115,0.46,us,us7000j18u,2022-12-31T13:10:49.040Z,"South Sandwich Islands region",earthquake,12.21,8.227,0.104,28,reviewed,us,us
2022-12-31T12:47:57.911Z,-32.2754,-71.5481,56.199,4.5,mwr,40,101,0.539,0.64,us,us7000j18l,2022-12-31T20:33:07.392Z,"35 km WNW of La Ligua, Chile",earthquake,4.74,6.758,0.04,59,reviewed,us,us
2022-12-31T09:34:13.939Z,-19.6901,-178.1554,583.372,4.7,mb,76,49,3.135,0.75,us,us7000j17s,2022-12-31T09:52:44.040Z,"Fiji region",earthquake,11.38,8.443,0.029,366,reviewed,us,us
2022-12-31T06:13:27.066Z,54.9265,-160.2869,38.464,4.6,mwr,102,126,0.414,0.76,us,us7000j16q,2022-12-31T19:44:45.671Z,"47 km SSE of Sand Point, Alaska",earthquake,7.32,5.324,0.045,48,reviewed,us,us
2022-12-31T03:31:43.697Z,-23.0845,-68.8996,97.691,5,mww,71,79,0.677,1.15,us,us7000j15y,2023-01-01T12:50:10.445Z,"69 km S of Calama, Chile",earthquake,4.91,4.671,0.066,22,reviewed,us,us
2022-12-31T03:01:43.802Z,29.2311,130.4578,32.025,4.5,mb,24,127,2.271,0.67,us,us7000j15x,2022-12-31T03:21:52.040Z,"111 km S of Yudomari, Japan",earthquake,9.95,6.634,0.128,18,reviewed,us,us
2022-12-31T02:08:02.659Z,-52.7389,27.6989,10,5,mb,26,85,20.951,0.56,us,us7000j15u,2022-12-31T02:23:52.040Z,"south of Africa",earthquake,7.31,1.883,0.1,32,reviewed,us,us
2022-12-30T22:42:12.429Z,52.4237,160.4082,35,4.7,mb,64,80,1.227,0.49,us,us7000j154,2022-12-30T23:05:55.040Z,"139 km ESE of Petropavlovsk-Kamchatsky, Russia",earthquake,9.08,1.908,0.072,58,reviewed,us,us
2022-12-30T22:35:25.866Z,-24.0267,-67.1397,232.941,4.5,mb,20,197,1.433,0.48,us,us7000j152,2022-12-30T23:15:42.040Z,"86 km WNW of San Antonio de los Cobres, Argentina",earthquake,9.88,5.816,0.191,8,reviewed,us,us
2022-12-30T21:54:06.110Z,-11.3618,166.4912,138.687,4.9,mb,39,143,4.12,0.65,us,us7000j14t,2022-12-30T23:18:44.040Z,"103 km SE of Lata, Solomon Islands",earthquake,14.61,9.464,0.069,67,reviewed,us,us
2022-12-30T21:53:30.776Z,-14.9969,-75.7533,17.74,5.2,mww,104,104,3.173,0.63,us,us7000j14p,2022-12-31T16:14:25.307Z,"67 km WSW of Changuillo, Peru",earthquake,7.56,3.297,0.069,20,reviewed,us,us
2022-12-30T21:02:26.819Z,-52.6754,27.8233,10,5.1,mb,34,102,20.911,0.82,us,us7000j14a,2023-01-02T01:05:59.040Z,"south of Africa",earthquake,10.88,1.731,0.106,29,reviewed,us,us
2022-12-30T15:36:00.918Z,19.0129,-102.7603,93.666,4.7,mb,38,177,1.579,0.62,us,us7000j12p,2022-12-31T03:10:23.155Z,"5 km WNW of Bonifacio Moreno (El Aguaje), Mexico",earthquake,12.04,4.602,0.046,142,reviewed,us,us
2022-12-30T15:35:13.701Z,-23.2048,-175.28,10,4.8,mb,26,78,2.027,0.65,us,us7000j12q,2022-12-30T16:23:54.040Z,"210 km S of ‘Ohonua, Tonga",earthquake,9.38,1.853,0.09,38,reviewed,us,us
2022-12-30T12:10:45.063Z,-7.984,128.9291,35,5,mb,58,56,2.347,0.64,us,us7000j11x,2022-12-30T12:30:01.040Z,"Kepulauan Barat Daya, Indonesia",earthquake,7.1,1.925,0.073,60,reviewed,us,us
2022-12-30T09:42:04.853Z,-21.9068,-174.5002,10,5.4,mww,32,112,0.983,0.87,us,us7000j11e,2022-12-31T09:45:24.383Z,"Tonga",earthquake,7.82,1.796,0.089,12,reviewed,us,us
2022-12-30T06:47:50.973Z,0.2406,97.4744,35,4.6,mb,39,222,1.061,0.7,us,us7000j10t,2022-12-30T07:16:01.040Z,"220 km SW of Sibolga, Indonesia",earthquake,9.91,1.972,0.103,32,reviewed,us,us
2022-12-30T05:19:17.103Z,-45.8927,-76.4566,8.947,5.3,mww,43,169,2.199,0.52,us,us7000j10i,2022-12-30T06:43:57.040Z,"287 km W of Puerto Chacabuco, Chile",earthquake,6.71,4.778,0.057,30,reviewed,us,us
2022-12-30T04:57:20.467Z,60.6954,-44.0119,10,4.6,mb,57,69,0.83,0.61,us,us7000j103,2022-12-30T05:16:57.040Z,"western Greenland",earthquake,5.63,1.892,0.046,141,reviewed,us,us
2022-12-30T04:33:52.297Z,-7.1275,102.7874,10,5,mb,36,96,4.609,0.79,us,us7000j0zy,2022-12-30T04:52:16.040Z,"southwest of Sumatra, Indonesia",earthquake,7.37,1.639,0.107,31,reviewed,us,us
2022-12-30T04:16:56.053Z,-0.2131,97.3105,10,5,mb,52,136,1.53,0.75,us,us7000j0zu,2022-12-30T04:34:01.040Z,"271 km SW of Sibolga, Indonesia",earthquake,4.67,1.894,0.079,52,reviewed,us,us
